person_id,id,character,role
23433,tm74391,Narrator - Narrative Introductions,ACTOR
5910,tm74391,Mickey Mouse (segment 'The Sorcerer's Apprentice') (voice),ACTOR
23436,tm74391,Soloist (segment 'Ave Maria') (singing voice),ACTOR
23434,tm74391,Himself - Conductor of The Philadelphia Orchestra,ACTOR
23441,tm74391,,DIRECTOR
23442,tm74391,,DIRECTOR
23443,tm74391,,DIRECTOR
6164,tm74391,,DIRECTOR
23444,tm74391,,DIRECTOR
23446,tm74391,,DIRECTOR
23440,tm74391,,DIRECTOR
13776,tm74391,,DIRECTOR
23438,tm74391,,DIRECTOR
23437,tm74391,,DIRECTOR
23445,tm74391,,DIRECTOR
6147,tm74391,,DIRECTOR
6134,tm67803,Snow White (voice) (uncredited),ACTOR
6141,tm67803,Queen / Witch (voice) (uncredited),ACTOR
6142,tm67803,Prince (voice) (uncredited),ACTOR
6135,tm67803,Doc (voice) (uncredited),ACTOR
6139,tm67803,Sleepy / Grumpy / Dopey (hiccups) (voice) (uncredited),ACTOR
6140,tm67803,Happy (voice) (uncredited),ACTOR
6136,tm67803,Bashful (voice) (uncredited),ACTOR
6137,tm67803,Sneezy (voice) (uncredited),ACTOR
6138,tm67803,Dopey / Chipmunk and Squirrel Sneezes (voice) (uncredited),ACTOR
6144,tm67803,Magic Mirror (voice) (uncredited),ACTOR
6143,tm67803,Huntsman (voice) (uncredited),ACTOR
6145,tm67803,Birds (voice) (uncredited),ACTOR
6146,tm67803,Birds (voice) (uncredited),ACTOR
6147,tm67803,,DIRECTOR
27198,tm82546,Pinocchio / Alexander (voice) (uncredited),ACTOR
13325,tm82546,Jiminy Cricket (voice) (uncredited),ACTOR
47767,tm82546,Geppetto (voice) (uncredited),ACTOR
97812,tm82546,The Blue Fairy (voice) (uncredited),ACTOR
49040,tm82546,'Honest John' Worthington Foulfellow (voice) (uncredited),ACTOR
10548,tm82546,Gideon (hiccup) (voice) (uncredited),ACTOR
45704,tm82546,Stromboli / The Coachman (voice) (uncredited),ACTOR
97810,tm82546,Lampwick (voice) (uncredited),ACTOR
90204,tm82546,Carnival Barker (voice) (uncredited),ACTOR
6143,tm82546,Carnival Barker (voice) (uncredited),ACTOR
6145,tm82546,Birds (voice) (uncredited),ACTOR
598861,tm82546,Carnival Barker (voice) (uncredited),ACTOR
97811,tm82546,Marionettes (voice) (uncredited),ACTOR
39139,tm82546,Monstro the Whale (uncredited),ACTOR
23446,tm82546,,DIRECTOR
13776,tm82546,,DIRECTOR
25067,tm82546,,DIRECTOR
23440,tm82546,,DIRECTOR
23444,tm82546,,DIRECTOR
23445,tm82546,,DIRECTOR
23442,tm82546,,DIRECTOR
97871,tm79357,Young Bambi (voice) (uncredited),ACTOR
97870,tm79357,Young Thumper (voice) (uncredited),ACTOR
97869,tm79357,Young Flower (voice) (uncredited),ACTOR
13318,tm79357,Young Faline (voice) (uncredited),ACTOR
49067,tm79357,Friend Owl (voice) (uncredited),ACTOR
97868,tm79357,Adolescent Bambi (voice) (uncredited),ACTOR
97874,tm79357,Adolescent Faline (voice) (uncredited),ACTOR
97873,tm79357,Adolescent Thumper / Adolescent Flower (voice) (uncredited),ACTOR
74029,tm79357,Adult Thumper (voice) (uncredited),ACTOR
5900,tm79357,Adult Flower (voice) (uncredited),ACTOR
6140,tm79357,Mr. Mole (voice) (uncredited),ACTOR
598853,tm79357,Girl Bunny / Quail Mother / Female Pheasant (voice) (uncredited),ACTOR
31237,tm79357,Bullfrog (voice) (uncredited),ACTOR
6145,tm79357,Birds (voice) (uncredited),ACTOR
6147,tm79357,,DIRECTOR
40975,tm62671,Jim Hawkins,ACTOR
36587,tm62671,Long John Silver,ACTOR
51657,tm62671,Captain Smollett,ACTOR
63203,tm62671,Squire Trelawney,ACTOR
64887,tm62671,Dr. Livesy,ACTOR
13686,tm62671,Capt. Billy Bones,ACTOR
35478,tm62671,George Merry,ACTOR
11651,tm62671,Israel Hands,ACTOR
64888,tm62671,Ben Gunn,ACTOR
27739,tm62671,Blind Pew,ACTOR
51656,tm62671,Black Dog,ACTOR
81222,tm62671,Mr. Arrow,ACTOR
93325,tm62671,Redruth,ACTOR
567691,tm62671,Gray,ACTOR
129287,tm62671,Morgan,ACTOR
153617,tm62671,Williams,ACTOR
223500,tm62671,Haggott,ACTOR
63677,tm62671,Cady,ACTOR
686013,tm62671,Job,ACTOR
686012,tm62671,Scully,ACTOR
219304,tm62671,Bolen,ACTOR
686056,tm62671,Vane,ACTOR
591235,tm62671,Durgin,ACTOR
39222,tm62671,Roach,ACTOR
543928,tm62671,Wolfe,ACTOR
686006,tm62671,Pike,ACTOR
685763,tm62671,Upson,ACTOR
530829,tm62671,Spotts,ACTOR
685761,tm62671,Bart,ACTOR
685947,tm62671,Tardy,ACTOR
543826,tm62671,Joyce,ACTOR
685943,tm62671,Hunter,ACTOR
685942,tm62671,Norton,ACTOR
685966,tm62671,Bray,ACTOR
55434,tm62671,,DIRECTOR
25056,tm61729,"Narrator (segment ""The Legend of Sleepy Hollow"")",ACTOR
25058,tm61729,"Narrator (segment ""The Wind in the Willows"") (voice)",ACTOR
25057,tm61729,Mr. Toad (voice),ACTOR
5901,tm61729,Cyril Proudbottom (voice),ACTOR
598861,tm61729,Prosecutor (voice),ACTOR
25059,tm61729,Mole (voice),ACTOR
25062,tm61729,Angus MacBadger (voice),ACTOR
25063,tm61729,Rat (voice),ACTOR
13779,tm61729,Gang Leader (voice),ACTOR
6139,tm61729,Ichabod Crane (screaming) (voice),ACTOR
25065,tm61729,Judge / First Weasel (voice),ACTOR
25066,tm61729,Mr. Winky (voice),ACTOR
25064,tm61729,Second Weasel (voice),ACTOR
23438,tm61729,,DIRECTOR
7712,tm61729,,DIRECTOR
25067,tm61729,,DIRECTOR
79866,tm61052,Cinderella (voice),ACTOR
7706,tm61052,Lady Tremaine (voice),ACTOR
5904,tm61052,Fairy Godmother (voice),ACTOR
128931,tm61052,(credit only) (voice),ACTOR
79867,tm61052,Drizella (voice),ACTOR
23435,tm61052,Gus / Jaq (voice),ACTOR
49088,tm61052,(credit only),ACTOR
79868,tm61052,King / Grand Duke (voice),ACTOR
60612,tm61052,Doorman (voice),ACTOR
12864,tm61052,Anastasia (voice),ACTOR
79874,tm61052,(voice),ACTOR
79869,tm61052,Prince Charming (singing voice),ACTOR
79872,tm61052,Prince Charming (voice),ACTOR
69473,tm61052,Bruno (voice),ACTOR
79876,tm61052,(voice),ACTOR
79877,tm61052,Perla - a Mouse (voice),ACTOR
12876,tm61052,Lucifer (voice),ACTOR
39139,tm61052,(voice),ACTOR
79871,tm61052,Mouse (voice),ACTOR
79875,tm61052,Mouse (voice),ACTOR
79873,tm61052,Mouse (voice),ACTOR
6145,tm61052,Birds (voice),ACTOR
79870,tm61052,Narrator (voice),ACTOR
23446,tm61052,,DIRECTOR
23442,tm61052,,DIRECTOR
7712,tm61052,,DIRECTOR
5900,tm87946,Mr. Stork (voice),ACTOR
81249,tm87946,The Ringmaster (voice),ACTOR
598861,tm87946,Narrator (voice),ACTOR
13765,tm87946,Timothy Q. Mouse (voice),ACTOR
13767,tm87946,Crow (voice),ACTOR
13768,tm87946,Clown (voice),ACTOR
13769,tm87946,Crow (voice),ACTOR
13325,tm87946,Jim Crow (voice),ACTOR
5904,tm87946,Elephant Matriarch / Mrs. Jumbo (voice),ACTOR
13771,tm87946,Catty the Elephant (voice),ACTOR
13772,tm87946,Clown (voice),ACTOR
13774,tm87946,Skinny (voice),ACTOR
13775,tm87946,Boy (voice),ACTOR
1331088,tm87946,Casey Jr. (voice),ACTOR
23445,tm87946,,DIRECTOR
25067,tm87946,,DIRECTOR
23440,tm87946,,DIRECTOR
23446,tm87946,,DIRECTOR
23437,tm87946,,DIRECTOR
13776,tm87946,,DIRECTOR
5900,tm4623,Professor Holloway (voice),ACTOR
31237,tm4623,Donald Duck (voice),ACTOR
102933,tm4623,Panchito (voice),ACTOR
116060,tm4623,José Carioca (voice),ACTOR
6139,tm4623,Aracuan Bird (voice),ACTOR
102930,tm4623,The Brazilian Girl,ACTOR
102931,tm4623,Mexico Girl,ACTOR
102932,tm4623,Mexico Girl,ACTOR
102935,tm4623,,DIRECTOR
23445,tm4623,,DIRECTOR
25067,tm4623,,DIRECTOR
7712,tm4623,,DIRECTOR
23440,tm4623,,DIRECTOR
93739,tm77826,Robert Benchley,ACTOR
27197,tm77826,Doris,ACTOR
153744,tm77826,Humphrey,ACTOR
93827,tm77826,Mrs. Benchley,ACTOR
25063,tm77826,"Sir Giles (segment ""The Reluctant Dragon"") (voice)",ACTOR
74824,tm77826,"Dragon (segment ""The Reluctant Dragon"") (voice)",ACTOR
113378,tm77826,"Boy (segment ""The Reluctant Dragon"") (voice)",ACTOR
67501,tm77826,Clara Cluck (voice) / Florence Gill,ACTOR
31237,tm77826,Donald Duck (voice) / Clarence Nash,ACTOR
23445,tm77826,Norman Ferguson,ACTOR
62951,tm77826,Ward Kimball,ACTOR
571013,tm77826,Baby Weems Model,ACTOR
15268,tm77826,Baby Weems Storyboard Artist,ACTOR
571015,tm77826,Truman Woodworth,ACTOR
153017,tm77826,Hamilton MacFadden,ACTOR
153455,tm77826,Baby Weems Storyboard Artist,ACTOR
33776,tm77826,Baby Weems Storyboard Artist (uncredited),ACTOR
5910,tm77826,Walt Disney (uncredited),ACTOR
13381,tm77826,Orchestra Leader (uncredited),ACTOR
49131,tm77826,"Studio Guard / Narrator (segment ""Baby Weems"") (voice) (uncredited)",ACTOR
69969,tm77826,,DIRECTOR
23442,tm77826,,DIRECTOR
25704,tm89831,Himself / Charlie McCarthy / Mortimer Snerd,ACTOR
65647,tm89831,Narrator (voice),ACTOR
31233,tm89831,Herself,ACTOR
5910,tm89831,Mickey Mouse (voice) (uncredited),ACTOR
31234,tm89831,Singing Harp (voice),ACTOR
13325,tm89831,Jiminy Cricket (voice),ACTOR
31237,tm89831,Donald Duck / Cat (voice),ACTOR
6139,tm89831,Goofy (voice) (uncredited),ACTOR
23435,tm89831,Lumpjaw (voice) (uncredited),ACTOR
6137,tm89831,Willie the Giant (voice),ACTOR
25067,tm89831,,DIRECTOR
23442,tm89831,,DIRECTOR
23440,tm89831,,DIRECTOR
598654,tm89831,,DIRECTOR
5910,tm3616,Mickey Mouse / Minnie Mouse / Peg-Leg Pete / Parrot (voice),ACTOR
153911,tm3616,,DIRECTOR
116061,tm77407,Narrator,ACTOR
116060,tm77407,José Carioca (voice),ACTOR
6139,tm77407,Goofy (voice),ACTOR
5910,tm77407,self,ACTOR
31237,tm77407,Donald Duck (voice),ACTOR
23440,tm77407,,DIRECTOR
23445,tm77407,,DIRECTOR
25067,tm77407,,DIRECTOR
23446,tm77407,,DIRECTOR
23442,tm77407,,DIRECTOR
151990,tm71205,Goofy (voice),ACTOR
116061,tm71205,Narrator (voice) (uncredited),ACTOR
25067,tm71205,,DIRECTOR
123795,tm5822,Roy Rogers,ACTOR
516041,tm5822,Johnny Appleseed Narrator (voice),ACTOR
567394,tm5822,Pianist,ACTOR
49038,tm5822,Frances Langford,ACTOR
567396,tm5822,Ethel Smith,ACTOR
123798,tm5822,Trigger,ACTOR
40975,tm5822,Bobby Driscoll,ACTOR
31233,tm5822,Luana Patten,ACTOR
212762,tm5822,Patty Andrews (voice),ACTOR
212763,tm5822,Maxene Andrews,ACTOR
212764,tm5822,Laverne Andrews,ACTOR
154362,tm5822,Fred Waring,ACTOR
23442,tm5822,,DIRECTOR
23446,tm5822,,DIRECTOR
25067,tm5822,,DIRECTOR
7712,tm5822,,DIRECTOR
574686,tm8579,Ferdinand (voice),ACTOR
97072,tm8579,Narrator (voice),ACTOR
5910,tm8579,Ferdinand's Mother (voice),ACTOR
6154,tm8579,,DIRECTOR
13768,tm134279,Big Bad Wolf (voice),ACTOR
6139,tm134279,Practical Pig (voice),ACTOR
574167,tm134279,Fiddler Pig (voice),ACTOR
571036,tm134279,Fifer Pig (voice),ACTOR
134005,tm134279,,DIRECTOR
5910,tm74410,Mickey Mouse (voice) (uncredited),ACTOR
6139,tm74410,Goofy (voice) (uncredited),ACTOR
31237,tm74410,Donald Duck (voice) (uncredited),ACTOR
7712,tm74410,,DIRECTOR
31237,tm4759,Birds (voice) (uncredited),ACTOR
1425627,tm4759,(voice) (uncredited),ACTOR
6145,tm4759,(voice) (uncredited),ACTOR
6139,tm4759,Evil Hollow Tree (voice) (uncredited),ACTOR
5910,tm4759,Owl Sirens (voice) (uncredited),ACTOR
134005,tm4759,,DIRECTOR
13301,tm80290,William Robinson,ACTOR
72251,tm80290,Elizabeth Robinson,ACTOR
66966,tm80290,Jack Robinson,ACTOR
152943,tm80290,Ernest Robinson,ACTOR
71549,tm80290,Fritz Robinson,ACTOR
571970,tm80290,Francis Robinson,ACTOR
47767,tm80290,Thoren,ACTOR
13432,tm80290,Ramsey,ACTOR
74504,tm80290,Captain,ACTOR
129255,tm80290,Seaman,ACTOR
15246,tm80290,Opening Narrator,ACTOR
153923,tm80290,,DIRECTOR
67067,tm60613,Narrator,ACTOR
23438,tm60613,,DIRECTOR
31237,tm330224,Ducks (voice) (uncredited),ACTOR
134293,tm330224,,DIRECTOR
7712,tm330224,,DIRECTOR
205982,tm137537,The Pied Piper (voice) (uncredited),ACTOR
326935,tm137537,King (voice) (uncredited),ACTOR
6145,tm137537,Rats (voice) (uncredited),ACTOR
153877,tm137537,Rats (voice) (uncredited),ACTOR
23446,tm137537,,DIRECTOR
1410062,tm63024,Singer (voice) (uncredited),ACTOR
1412460,tm63024,Crickets (voice) (uncredited),ACTOR
1425592,tm63024,Birds (voice) (uncredited),ACTOR
31237,tm63024,Frogs (voice) (uncredited),ACTOR
1396007,tm63024,Singer (voice) (uncredited),ACTOR
1396174,tm63024,Singer (voice) (uncredited),ACTOR
1410232,tm63024,Singer (voice) (uncredited),ACTOR
33308,tm63024,Birds / Singer (voice) (uncredited),ACTOR
1449747,tm63024,Singer (voice) (uncredited),ACTOR
598854,tm63024,,DIRECTOR
23446,tm63024,,DIRECTOR
80556,tm100567,Little Red Riding Hood / Grandma (voice) (uncredited),ACTOR
13768,tm100567,Big Bad Wolf (voice) (uncredited),ACTOR
6139,tm100567,Practical Pig (voice) (uncredited),ACTOR
574167,tm100567,Fifer Pig (voice) (uncredited),ACTOR
571036,tm100567,Fiddler Pig (voice) (uncredited),ACTOR
134005,tm100567,,DIRECTOR
5910,tm116172,Mickey Mouse (voice) (uncredited),ACTOR
13768,tm116172,Radio (voice) (uncredited),ACTOR
6139,tm116172,Radio Hiccup (voice) (uncredited),ACTOR
23435,tm116172,King of Hearts (voice) (uncredited),ACTOR
31237,tm116172,Nutcracker Tool (voice) (uncredited),ACTOR
6147,tm116172,,DIRECTOR
1404197,tm103817,Goddess of Spring (voice) (uncredited),ACTOR
154481,tm103817,Singing Narrator (voice) (uncredited),ACTOR
155741,tm103817,Pluto (voice) (uncredited),ACTOR
573050,tm103817,Singer (voice) (uncredited),ACTOR
6146,tm103817,(voice) (uncredited),ACTOR
23446,tm103817,,DIRECTOR
6139,tm4822,Goofy (voice),ACTOR
25067,tm4822,,DIRECTOR
13772,tm116154,Toby Tortoise,ACTOR
155760,tm116154,Max Hare,ACTOR
175613,tm116154,Girl Bunny,ACTOR
152795,tm116154,Girl Bunny,ACTOR
175614,tm116154,Girl Bunny,ACTOR
15620,tm116154,Jenny Wren,ACTOR
23446,tm116154,,DIRECTOR
6139,tm4844,Santa's secretary (voice),ACTOR
326935,tm4844,Santa Claus (voice),ACTOR
326936,tm4844,deep-voiced gnome (voice),ACTOR
5910,tm4844,Santa's second helper (voice),ACTOR
23446,tm4844,,DIRECTOR
151990,tm71616,Goofy (voice),ACTOR
598861,tm71616,Narrator (voice),ACTOR
25067,tm71616,,DIRECTOR
6139,tm65604,Goofy (voice) (uncredited),ACTOR
5910,tm65604,Mickey Mouse (voice) (uncredited),ACTOR
152795,tm65604,Minnie Mouse (voice) (uncredited),ACTOR
31237,tm65604,Donald Duck (voice) (uncredited),ACTOR
13776,tm65604,,DIRECTOR
31237,tm156870,Donald Duck / Huey / Dewey / Louie (voice) (uncredited),ACTOR
133995,tm156870,,DIRECTOR
