person_id,id,character,role
21174,tm19248,Johnny Gray,ACTOR
28713,tm19248,Annabelle Lee,ACTOR
28714,tm19248,Captain Anderson,ACTOR
28715,tm19248,General Thatcher,ACTOR
27348,tm19248,A Southern General,ACTOR
28716,tm19248,Annabelle's Father,ACTOR
28718,tm19248,Union General,ACTOR
28721,tm19248,Officer on Horseback (uncredited),ACTOR
28717,tm19248,Annabelle's Brother,ACTOR
28719,tm19248,Union General,ACTOR
28720,tm19248,Union General,ACTOR
28722,tm19248,Raider (uncredited),ACTOR
28723,tm19248,Raider (uncredited),ACTOR
28724,tm19248,Raider (uncredited),ACTOR
28725,tm19248,Raider (uncredited),ACTOR
28726,tm19248,Union Railroad Fireman (uncredited),ACTOR
28727,tm19248,Confederate Recruiter (uncredited),ACTOR
28728,tm19248,Bit Part (uncredited),ACTOR
28729,tm19248,Union Officer (uncredited),ACTOR
28730,tm19248,Soldier (uncredited),ACTOR
28731,tm19248,Soldier (uncredited),ACTOR
28733,tm19248,Union General Who Gives Command to Cross Bridge (uncredited),ACTOR
28732,tm19248,,DIRECTOR
21174,tm19248,,DIRECTOR
25018,tm83884,Walter Burns,ACTOR
28500,tm83884,Hildy Johnson,ACTOR
12463,tm83884,Bruce Baldwin,ACTOR
28501,tm83884,Sheriff Hartwell,ACTOR
28506,tm83884,Mollie Malloy,ACTOR
27185,tm83884,Murphy,ACTOR
28510,tm83884,Bensinger,ACTOR
13325,tm83884,Endicott,ACTOR
28502,tm83884,Mayor,ACTOR
20167,tm83884,McCue,ACTOR
28503,tm83884,Wilson,ACTOR
23834,tm83884,Sanders,ACTOR
28504,tm83884,Louie,ACTOR
28505,tm83884,Duffy,ACTOR
14710,tm83884,Earl Williams,ACTOR
28507,tm83884,Mrs. Baldwin,ACTOR
6137,tm83884,Joe Pettibone,ACTOR
28508,tm83884,Warden Cooley,ACTOR
28509,tm83884,Dr. Egelhoffer,ACTOR
13331,tm83884,Gus (uncredited),ACTOR
27216,tm83884,Mike (uncredited),ACTOR
27217,tm83884,Insurance Doctor (uncredited),ACTOR
28511,tm83884,Elevator Passenger (uncredited),ACTOR
27234,tm83884,Cop (uncredited),ACTOR
27196,tm83884,Newspaper Office Worker (uncredited),ACTOR
28512,tm83884,Plainclothesman (uncredited),ACTOR
28513,tm83884,Pete Davis (uncredited),ACTOR
25663,tm83884,Frank the Policeman (uncredited),ACTOR
27262,tm83884,Elevator Passenger (uncredited),ACTOR
28514,tm83884,Carl the Plainclothesman (uncredited),ACTOR
28515,tm83884,Evangeline (uncredited),ACTOR
22485,tm83884,Newsman (uncredited),ACTOR
27306,tm83884,Tim (uncredited),ACTOR
27310,tm83884,Gene (uncredited),ACTOR
27191,tm83884,Skinny (uncredited),ACTOR
23839,tm83884,,DIRECTOR
129611,tm19424,Al Roberts,ACTOR
129610,tm19424,Vera,ACTOR
129612,tm19424,Sue Harvey,ACTOR
