person_id,id,character,role
59401,ts20945,Joe,ACTOR
31460,ts20945,Moe,ACTOR
31461,ts20945,Larry,ACTOR
21174,tm19248,Johnny Gray,ACTOR
28713,tm19248,Annabelle Lee,ACTOR
28714,tm19248,Captain Anderson,ACTOR
28715,tm19248,General Thatcher,ACTOR
27348,tm19248,A Southern General,ACTOR
28716,tm19248,Annabelle's Father,ACTOR
28718,tm19248,Union General,ACTOR
28721,tm19248,Officer on Horseback (uncredited),ACTOR
28717,tm19248,Annabelle's Brother,ACTOR
28719,tm19248,Union General,ACTOR
28720,tm19248,Union General,ACTOR
28722,tm19248,Raider (uncredited),ACTOR
28723,tm19248,Raider (uncredited),ACTOR
28724,tm19248,Raider (uncredited),ACTOR
28725,tm19248,Raider (uncredited),ACTOR
28726,tm19248,Union Railroad Fireman (uncredited),ACTOR
28727,tm19248,Confederate Recruiter (uncredited),ACTOR
28728,tm19248,Bit Part (uncredited),ACTOR
28729,tm19248,Union Officer (uncredited),ACTOR
28730,tm19248,Soldier (uncredited),ACTOR
28731,tm19248,Soldier (uncredited),ACTOR
28733,tm19248,Union General Who Gives Command to Cross Bridge (uncredited),ACTOR
28732,tm19248,,DIRECTOR
21174,tm19248,,DIRECTOR
29993,tm82253,Milly Stephenson,ACTOR
29992,tm82253,Al Stephenson,ACTOR
29994,tm82253,Fred Derry,ACTOR
21803,tm82253,Peggy Stephenson,ACTOR
29995,tm82253,Marie Derry,ACTOR
13682,tm82253,Wilma Cameron,ACTOR
29996,tm82253,Butch Engle,ACTOR
29997,tm82253,Homer Parrish,ACTOR
27564,tm82253,Hortense Derry,ACTOR
29998,tm82253,Pat Derry,ACTOR
15258,tm82253,Mr. Milton,ACTOR
29999,tm82253,Mrs. Parrish,ACTOR
30000,tm82253,Mr. Parrish,ACTOR
30001,tm82253,Cliff Scully,ACTOR
30002,tm82253,Mrs. Cameron,ACTOR
28777,tm82253,Mr. Cameron,ACTOR
567781,tm82253,Luella Parrish,ACTOR
45075,tm82253,Prew,ACTOR
37831,tm82253,Mr. Mollett,ACTOR
16783,tm82253,Thorpe,ACTOR
296554,tm82253,Novak,ACTOR
15259,tm82253,Bullard,ACTOR
564517,tm82253,Rob Stephenson,ACTOR
316368,tm82253,Woody Merrill,ACTOR
128931,tm82253,Mrs. Talburt - Perfume Customer (uncredited),ACTOR
25663,tm82253,Salvage Foreman (uncredited),ACTOR
39453,tm82253,A Boy (uncredited),ACTOR
21359,tm82253,Nightclub Waiter (uncredited),ACTOR
22474,tm82253,Man at Airport/Dinner Guest (uncredited),ACTOR
1479923,tm82253,,ACTOR
13717,tm82253,,DIRECTOR
25018,tm83884,Walter Burns,ACTOR
28500,tm83884,Hildy Johnson,ACTOR
12463,tm83884,Bruce Baldwin,ACTOR
28501,tm83884,Sheriff Hartwell,ACTOR
28506,tm83884,Mollie Malloy,ACTOR
27185,tm83884,Murphy,ACTOR
28510,tm83884,Bensinger,ACTOR
13325,tm83884,Endicott,ACTOR
28502,tm83884,Mayor,ACTOR
20167,tm83884,McCue,ACTOR
28503,tm83884,Wilson,ACTOR
23834,tm83884,Sanders,ACTOR
28504,tm83884,Louie,ACTOR
28505,tm83884,Duffy,ACTOR
14710,tm83884,Earl Williams,ACTOR
28507,tm83884,Mrs. Baldwin,ACTOR
6137,tm83884,Joe Pettibone,ACTOR
28508,tm83884,Warden Cooley,ACTOR
28509,tm83884,Dr. Egelhoffer,ACTOR
13331,tm83884,Gus (uncredited),ACTOR
27216,tm83884,Mike (uncredited),ACTOR
27217,tm83884,Insurance Doctor (uncredited),ACTOR
28511,tm83884,Elevator Passenger (uncredited),ACTOR
27234,tm83884,Cop (uncredited),ACTOR
27196,tm83884,Newspaper Office Worker (uncredited),ACTOR
28512,tm83884,Plainclothesman (uncredited),ACTOR
28513,tm83884,Pete Davis (uncredited),ACTOR
25663,tm83884,Frank the Policeman (uncredited),ACTOR
27262,tm83884,Elevator Passenger (uncredited),ACTOR
28514,tm83884,Carl the Plainclothesman (uncredited),ACTOR
28515,tm83884,Evangeline (uncredited),ACTOR
22485,tm83884,Newsman (uncredited),ACTOR
